area,aspect_ratio,solidity,extent,perimeter_ratio,label
1044.0,1.681159420289855,0.1834797891036907,0.13043478260869565,0.004366858499136503,1
684.5,2.0,0.9709219858156029,0.7760770975056689,0.7192888700249425,1
1039.5,4.421052631578948,0.9162626707800793,0.6513157894736842,0.37625986741449924,1
1257.0,1.0,0.9766899766899767,0.8264299802761341,0.859090087205277,1
1257.0,1.0,0.9766899766899767,0.8264299802761341,0.859090087205277,1
664.0,6.428571428571429,0.21816987021521275,0.13174603174603175,0.046403028746804534,1
664.0,6.428571428571429,0.21816987021521275,0.13174603174603175,0.046403028746804534,1
963.5,8.807692307692308,0.6984414642986589,0.16182398387638564,0.04870116107098796,1
963.5,8.807692307692308,0.6984414642986589,0.16182398387638564,0.04870116107098796,1
1997.0,22.736842105263158,0.6942464800973405,0.2432992202729045,0.031582435889508806,1
1997.0,22.736842105263158,0.6942464800973405,0.2432992202729045,0.031582435889508806,1
927.0,1.09375,0.9425521098118963,0.8276785714285714,0.7524271955026396,1
927.0,1.09375,0.9425521098118963,0.8276785714285714,0.7524271955026396,1
825.0,1.1162790697674418,0.6563245823389021,0.3997093023255814,0.28875932194694715,1
825.0,1.1162790697674418,0.6563245823389021,0.3997093023255814,0.28875932194694715,1
837.0,3.5531914893617023,0.1701219512195122,0.10663778825328067,0.026146566747104763,1
837.0,3.5531914893617023,0.1701219512195122,0.10663778825328067,0.026146566747104763,1
2932.0,8.125,0.8123008726970494,0.6264957264957265,0.18315982278371618,1
2932.0,8.125,0.8123008726970494,0.6264957264957265,0.18315982278371618,1
824.0,1.849056603773585,0.2438591299200947,0.15864458991143626,0.006358957620024156,1
824.0,1.849056603773585,0.2438591299200947,0.15864458991143626,0.006358957620024156,1
1583.5,17.4375,0.8213174273858921,0.3547267025089606,0.06102912852002429,1
1583.5,17.4375,0.8213174273858921,0.3547267025089606,0.06102912852002429,1
1548.5,1.125,0.967207995003123,0.8602777777777778,0.8149159635158765,1
1548.5,1.125,0.967207995003123,0.8602777777777778,0.8149159635158765,1
797.0,1.0571428571428572,0.7648752399232246,0.6154440154440154,0.35595435981089624,1
797.0,1.0571428571428572,0.7648752399232246,0.6154440154440154,0.35595435981089624,1
7946.0,8.272727272727273,0.9408560772008762,0.882006882006882,0.22320160341567985,1
7946.0,8.272727272727273,0.9408560772008762,0.882006882006882,0.22320160341567985,1
2013.0,1.2790697674418605,0.9771844660194174,0.8511627906976744,0.809540754131438,1
2013.0,1.2790697674418605,0.9771844660194174,0.8511627906976744,0.809540754131438,1
1291.5,1.1944444444444444,0.9772985244040863,0.8343023255813954,0.8357128008806586,1
1291.5,1.1944444444444444,0.9772985244040863,0.8343023255813954,0.8357128008806586,1
1764.0,0.8571428571428571,0.23037743241478387,0.12962962962962962,0.05264027347793117,1
2078.5,0.5142857142857142,0.9762799436355096,0.8248015873015873,0.7158758523462968,1
716.0,1.1538461538461537,0.6261477918670748,0.407977207977208,0.29038702978614345,1
716.0,1.1538461538461537,0.6261477918670748,0.407977207977208,0.29038702978614345,1
44602.5,2.437956204379562,0.9934405416842996,0.9747475851217273,0.6555358182218936,1
39439.0,2.4825174825174825,0.9151854086415743,0.776893529006205,0.5238406423297557,1
2966.5,17.7,0.8017567567567567,0.41899717514124296,0.06926098681208435,1
2304.0,1.4893617021276595,0.9247441300421433,0.7003039513677811,0.45583452074802516,1
2067.0,1.2954545454545454,0.9676966292134831,0.8241626794258373,0.7596641267396644,1
2067.0,1.2954545454545454,0.9676966292134831,0.8241626794258373,0.7596641267396644,1
19420.5,2.3069306930693068,0.982098156716984,0.8252454000764884,0.5980331408567537,1
32804.5,1.015625,0.4842635922115115,0.3154278846153846,0.08089525691212379,1
6004.0,0.8923076923076924,0.5370063950628327,0.39814323607427055,0.09467793034516027,1
1115.0,0.5490196078431373,0.9645328719723183,0.780812324929972,0.7276061462687213,1
550.5,5.535714285714286,0.19601210610646252,0.12684331797235024,0.023202338171218983,1
1192.0,0.559322033898305,0.8541741311357937,0.6122239342578326,0.5620229188913418,1
4824.5,0.8536585365853658,0.9875140722546311,0.8405052264808363,0.8681129234563549,1
2382.5,4.242424242424242,0.8289839944328462,0.5156926406926406,0.19951199142929438,1
1019.0,2.1056338028169015,0.03410193768615508,0.024000188421498894,0.0012824717421674426,1
974.0,0.46153846153846156,0.9415176413726438,0.780448717948718,0.6690571804606236,1
1921.0,1.837837837837838,0.9748794722151738,0.7635135135135135,0.7364136558697377,1
1921.0,1.837837837837838,0.9748794722151738,0.7635135135135135,0.7364136558697377,1
1553.0,1.2088607594936709,0.07664782962761889,0.05146132944529127,0.0010734197234357555,1
2608.0,0.6022727272727273,0.7515850144092219,0.5591766723842195,0.28844040668975085,1
2608.0,0.6022727272727273,0.7515850144092219,0.5591766723842195,0.28844040668975085,1
718.0,0.5476190476190477,0.9300518134715026,0.7432712215320911,0.6617212496433338,1
1517.5,1.3175675675675675,0.08210913616319021,0.05258142758142758,0.001843459981497838,1
3213.0,2.5238095238095237,0.8820864790665751,0.7216981132075472,0.4637864950914272,1
1257.0,0.7454545454545455,0.7986022871664549,0.5574279379157427,0.3899891313908682,1
1695.5,1.0304878048780488,0.08350571315996848,0.06117405108962332,0.0010943100916538068,1
854.0,2.642857142857143,0.016921781344429582,0.013625195443377262,0.0008326727890200561,1
834.5,0.5777777777777777,0.9282536151279199,0.7132478632478633,0.6586113931826352,1
826.0,2.2419354838709675,0.1456661670046733,0.09584590392202368,0.0024430792378030758,1
1204.0,1.2162162162162162,0.9705763804917372,0.7231231231231231,0.8397827847182763,1
3646.5,1.7756410256410255,0.11882882002150748,0.08438628158844766,0.020015812718685116,1
5836.5,3.34,0.8181244743481918,0.6989820359281437,0.10955564274756358,1
1459.0,1.1428571428571428,0.1471953188054883,0.10177176339285714,0.004615709789280226,1
860.0,0.4888888888888889,0.9885057471264368,0.8686868686868687,0.7427048538769728,1
2451.5,0.6185567010309279,0.18080908655087213,0.10530498281786942,0.002124747307312909,1
647.5,0.4888888888888889,0.8744091829844699,0.6540404040404041,0.517802293828924,1
1227.0,0.603448275862069,0.7918683446272992,0.6044334975369459,0.40267627930302896,1
3149.5,0.4,0.9453699534744109,0.787375,0.629450527445598,1
3149.5,0.4,0.9453699534744109,0.787375,0.629450527445598,1
6656.0,0.36129032258064514,0.9569405506433758,0.7668202764976959,0.48923067704209994,1
6656.0,0.36129032258064514,0.9569405506433758,0.7668202764976959,0.48923067704209994,1
47749.0,2.0662983425414363,0.9464243241100452,0.7053653204124443,0.3948743733822255,1
47749.0,2.0662983425414363,0.9464243241100452,0.7053653204124443,0.3948743733822255,1
1058.0,0.38596491228070173,0.9635701275045537,0.8437001594896332,0.6171966989374128,1
1058.0,0.38596491228070173,0.9635701275045537,0.8437001594896332,0.6171966989374128,1
4309.5,9.125,0.9516396157668102,0.819920091324201,0.24169195255171474,1
1017.5,1.7142857142857142,0.6740642596886386,0.4845238095238095,0.23701136152649455,1
1929.5,2.903225806451613,0.9664412722263962,0.6915770609318996,0.5616165147916852,1
2817.0,1.7572815533980584,0.21749536751080914,0.15110229040390494,0.0022761977419191695,1
2817.0,1.7572815533980584,0.21749536751080914,0.15110229040390494,0.0022761977419191695,1
2782.0,1.509090909090909,0.11981824837952494,0.06771327735183157,0.0011197327061418887,1
2782.0,1.509090909090909,0.11981824837952494,0.06771327735183157,0.0011197327061418887,1
4283.5,1.2164179104477613,0.3004805162919575,0.19611299331563042,0.004492748146461881,1
4283.5,1.2164179104477613,0.3004805162919575,0.19611299331563042,0.004492748146461881,1
1784.0,1.1111111111111112,0.9737991266375546,0.7928888888888889,0.8361699117502629,1
1784.0,1.1111111111111112,0.9737991266375546,0.7928888888888889,0.8361699117502629,1
23578.0,6.070588235294117,0.9655002968817182,0.5375740994072048,0.23153807279401967,1
23578.0,6.070588235294117,0.9655002968817182,0.5375740994072048,0.23153807279401967,1
2977.5,2.898550724637681,0.4807847569836913,0.2157608695652174,0.16181710016454104,1
2977.5,2.898550724637681,0.4807847569836913,0.2157608695652174,0.16181710016454104,1
2290.0,1.1568627450980393,0.9629941126997477,0.7610501827849784,0.8051455938684027,1
2290.0,1.1568627450980393,0.9629941126997477,0.7610501827849784,0.8051455938684027,1
6126.0,5.168141592920354,0.13298166780632348,0.09282943387077222,0.0010515974376628704,1
6126.0,5.168141592920354,0.13298166780632348,0.09282943387077222,0.0010515974376628704,1
